客户名称,渠道,服务期限,数量,结算月份,不含税收入,开始计费月份,结束计费月份,不含税单价,月摊收入,2017年摊销金额,2017年末累计摊销余额,2018年摊销金额,2018年末累计摊销余额,2019年摊销金额,2019年末累计摊销余额,2020年摊销金额,2020年末累计摊销余额,2021年摊销金额,2021年末累计摊销余额,2022年摊销金额,2022年末累计摊销余额,产品分类 
贵阳嘉鑫汽车装饰经营部,直销,12,7,2021-06,-1765.1362,2021-06,2022-05-31 00:00:00,-252.16231428571427,-147.09468333333334,0,0,0,0,0,0,0,0,-1029.6627833333334,0,-735.4734166666667,0,车充
贵阳嘉鑫汽车装饰经营部,直销,12,7,2021-07,-1575.614,2021-07,2022-06-30 00:00:00,-225.0877142857143,-131.30116666666666,0,0,0,0,0,0,0,0,-787.807,0,-787.807,0,车充
上海鲁悦汽车服务有限公司,直销,36,32,2021-07,-8495.5742,2021-07,2024-06-30 00:00:00,-265.48669375,-235.9881722222222,0,0,0,0,0,0,0,0,-1415.9290333333333,0,-2831.8580666666667,0,追踪器
广东盛世创客汽车科技有限公司,直销,36,14,2021-08,-1796.4604,2021-08,2024-07-31 00:00:00,-128.3186,-49.90167777777778,0,0,0,0,0,0,0,0,-249.50838888888887,0,-598.8201333333334,0,追踪器
四川众联晟通国际贸易有限公司,直销,36,29,2021-08,-7827.4334,2021-08,2024-07-31 00:00:00,-269.91149655172416,-217.42870555555555,0,0,0,0,0,0,0,0,-1087.1435277777778,0,-2609.1444666666666,0,记录仪
江西乐车林贸易有限公司,直销,36,206,2021-08,-45939.8121,2021-08,2024-07-31 00:00:00,-223.00879660194175,-1276.1058916666668,0,0,0,0,0,0,0,0,-6380.529458333334,0,-15313.270700000001,0,追踪器
聊城荣泰网络科技有限公司,直销,36,47,2021-09,-4575.2245,2021-09,2024-08-31 00:00:00,-97.34520212765958,-127.08956944444445,0,0,0,0,0,0,0,0,-508.3582777777778,0,-1525.0748333333333,0,车充
绵阳鑫驰骋商贸有限公司,代销,36,108,2021-09,-30584.0654,2021-09,2024-08-31 00:00:00,-283.18579074074074,-849.5573722222222,0,0,0,0,0,0,0,0,-3398.2294888888887,0,-10194.688466666666,0,追踪器
绵阳鑫驰骋商贸有限公司,代销,36,74,2021-11,-20955.7485,2021-11,2024-10-31 00:00:00,-283.18579054054055,-582.1041250000001,0,0,0,0,0,0,0,0,-1164.2082500000001,0,-6985.249500000001,0,追踪器
庞大精配网（天津）网络科技有限公司,代销,12,10,2021-11,-814.159,2021-11,2022-10-31 00:00:00,-81.4159,-67.84658333333333,0,0,0,0,0,0,0,0,-135.69316666666666,0,-678.4658333333333,0,记录仪
广州盟锐科技发展有限公司,直销,36,11,2021-11,-1411.5046,2021-11,2024-10-31 00:00:00,-128.3186,-39.20846111111111,0,0,0,0,0,0,0,0,-78.41692222222223,0,-470.5015333333333,0,追踪器
四川众联晟通国际贸易有限公司,直销,36,48,2021-11,-6584.0736,2021-11,2024-10-31 00:00:00,-137.16819999999998,-182.89093333333332,0,0,0,0,0,0,0,0,-365.78186666666664,0,-2194.6911999999998,0,记录仪
四川众联晟通国际贸易有限公司,直销,12,14,2021-11,-1982.3005,2021-11,2022-10-31 00:00:00,-141.59289285714286,-165.19170833333334,0,0,0,0,0,0,0,0,-330.3834166666667,0,-1651.9170833333333,0,记录仪
安徽优盾信息科技有限公司,直销,36,30,2021-12,-3159.291,2021-12,2024-11-30 00:00:00,-105.3097,-87.75808333333333,0,0,0,0,0,0,0,0,-87.75808333333333,0,-1053.097,0,追踪器
上海冠松汽车用品发展有限公司,直销,36,1,2021-12,-313.241,2021-12,2024-11-30 00:00:00,-313.241,-8.701138888888888,0,0,0,0,0,0,0,0,-8.701138888888888,0,-104.41366666666666,0,记录仪
